Player,Salary
PLAYER,0
Stephen Curry,0
John Wall,0
Russell Westbrook,0
LeBron James,0
Kevin Durant,0
Bradley Beal,0
Paul George,0
Kawhi Leonard,0
Giannis Antetokounmpo,0
Damian Lillard,0
Klay Thompson,0
Kyrie Irving,0
Rudy Gobert,0
Khris Middleton,0
Anthony Davis,0
Jimmy Butler,0
Tobias Harris,0
Kemba Walker,0
Trae Young,0
Zach LaVine,0
Luka Doncic,0
Ben Simmons,0
Pascal Siakam,0
Myles Turner,0
Karl-Anthony Towns,0
Devin Booker,0
Kristaps Porzingis,0
Jrue Holiday,0
Joel Embiid,0
Andrew Wiggins,0
CJ McCollum,0
Nikola Jokic,0
James Harden,0
Jamal Murray,0
Brandon Ingram,0
D'Angelo Russell,0
Michael Porter,0
Shai Gilgeous-Alexander,0
Donovan Mitchell,0
Deandre Ayton,0
Kevin Love,0
Jayson Tatum,0
Bam Adebayo,0
De'Aaron Fox,0
Gordon Hayward,0
Jaren Jackson Jr,0
Jaylen Brown,0
Chris Paul,0
Kyle Lowry,0
Jalen Brunson,0
DeMar DeRozan,0
Al Horford,0
Draymond Green,0
Julius Randle,0
John Collins,0
Mike Conley,0
Malcolm Brogdon,0
Anfernee Simons,0
Nikola Vucevic,0
Terry Rozier,0
Fred VanVleet,0
Buddy Hield,0
Jerami Grant,0
Mikal Bridges,0
Jarrett Allen,0
Nicolas Batum,0
Aaron Gordon,0
Tim Hardaway Jr,0
Eric Gordon,0
Bojan Bogdanovic,0
Lonzo Ball,0
Spencer Dinwiddie,0
Danilo Gallinari,0
Caris LeVert,0
Clint Capela,0
Joe Harris,0
Domantas Sabonis,0
Harrison Barnes,0
Evan Fournier,0
Bogdan Bogdanovic,0
Steven Adams,0
Gary Trent Jr,0
Jonathan Isaac,0
OG Anunoby,0
Marcus Smart,0
Mitchell Robinson,0
Duncan Robinson,0
Derrick White,0
Norman Powell,0
Dejounte Murray,0
Collin Sexton,0
Markelle Fultz,0
Lauri Markkanen,0
Marcus Morris,0
Davis Bertans,0
Jusuf Nurkic,0
Malik Beasley,0
Luguentz Dort,0
Will Barton,0
Tyus Jones,0
Jonas Valanciunas,0
Derrick Rose,0
Kevin Huerter,0
Christian Wood,0
Wendell Carter,0
Kentavious Caldwell-Pope,0
Brook Lopez,0
Patrick Beverley,0
Doug McDermott,0
Luke Kennard,0
Zion Williamson,0
Jordan Clarkson,0
Gary Harris,0
Kyle Kuzma,0
Josh Hart,0
Dorian Finney-Smith,0
Kelly Olynyk,0
Chris Boucher,0
Kelly Oubre,0
Marvin Bagley,0
Robert Covington,0
Josh Richardson,0
Ja Morant,0
Danny Green,0
Devonte Graham,0
Terrence Ross,0
Reggie Jackson,0
Dillon Brooks,0
Richaun Holmes,0
Dwight Powell,0
Paolo Banchero,0
Robert Williams,0
RJ Barrett,0
Bobby Portis,0
DeAndre Jordan,0
Anthony Edwards,0
Cade Cunningham,0
PJ Tucker,0
Derrick Favors,0
Mo Bamba,0
Talen Horton-Tucker,0
Jae Crowder,0
Ivica Zubac,0
Reggie Bullock,0
Alec Burks,0
Chet Holmgren,0
De'Andre Hunter,0
Larry Nance Jr,0
James Wiseman,0
Landry Shamet,0
Malik Monk,0
Jalen Green,0
Jakob Poeltl,0
Nerlens Noel,0
Dario Saric,0
Royce O'Neale,0
Monte Morris,0
Mason Plumlee,0
Alex Caruso,0
Maxi Kleber,0
Darius Garland,0
Jabari Smith,0
Kyle Anderson,0
Victor Oladipo,0
Daniel Theis,0
LaMelo Ball,0
Nicolas Claxton,0
Grayson Allen,0
Seth Curry,0
Evan Mobley,0
Gary Payton II,0
Dewayne Dedmon,0
De'Anthony Melton,0
JaMychal Green,0
TJ McConnell,0
Keegan Murray,0
Kevon Looney,0
Thaddeus Young,0
Isaiah Hartenstein,0
Delon Wright,0
Patrick Williams,0
Scottie Barnes,0
Cedi Osman,0
Coby White,0
Zach Collins,0
Taurean Prince,0
Jaden Ivey,0
Jae'Sean Tate,0
Isaac Okoro,0
Cody Martin,0
Jalen Suggs,0
Jaxson Hayes,0
Khem Birch,0
Bennedict Mathurin,0
Patrick Mills,0
Bruce Brown,0
Caleb Martin,0
Lonnie Walker,0
Joe Ingles,0
Onyeka Okongwu,0
Josh Giddey,0
Rui Hachimura,0
Rudy Gay,0
Jevon Carter,0
Shaedon Sharpe,0
Cameron Payne,0
Otto Porter,0
Justin Holiday,0
Cam Reddish,0
Cameron Johnson,0
Ricky Rubio,0
Killian Hayes,0
PJ Washington,0
Jonathan Kuminga,0
Pat Connaughton,0
Tyler Herro,0
Romeo Langford,0
Dyson Daniels,0
JaVale McGee,0
Goga Bitadze,0
Obi Toppin,0
Franz Wagner,0
Kendrick Nunn,0
Hamidou Diallo,0
Cory Joseph,0
Garrett Temple,0
Torrey Craig,0
Jeremy Sochan,0
David Nwaba,0
Nickeil Alexander-Walker,0
Furkan Korkmaz,0
Deni Avdija,0
Davion Mitchell,0
Johnny Davis,0
Ty Jerome,0
Ishmael Smith,0
Jalen Smith,0
Ziaire Williams,0
Ousmane Dieng,0
Moe Harkless,0
Donte DiVincenzo,0
Jeff Green,0
Devin Vassell,0
Matisse Thybulle,0
Jarred Vanderbilt,0
James Bouknight,0
Brandon Clarke,0
Jalen Williams,0
Grant Williams,0
Darius Bazley,0
Tyrese Haliburton,0
Nassir Little,0
Josh Primo,0
Jalen Duren,0
Gorgui Dieng,0
Danuel House,0
Boban Marjanovic,0
Justise Winslow,0
Dylan Windler,0
Stanley Johnson,0
Kira Lewis,0
George Hill,0
Terence Davis,0
Chris Duarte,0
Alex Len,0
Ochai Agbaji,0
Jordan Poole,0
Keldon Johnson,0
Sviatoslav Mykhailiuk,0
James Johnson,0
Aaron Nesmith,0
Moses Moody,0
Mark Williams,0
Cole Anthony,0
Corey Kispert,0
AJ Griffin,0
Goran Dragic,0
Mike Muscala,0
Georges Niang,0
Isaiah Stewart,0
Chuma Okeke,0
Trey Burke,0
Amir Coffey,0
Alperen Sengun,0
Tari Eason,0
Aleksej Pokusevski,0
Kevin Porter,0
Trey Murphy,0
Simone Fontecchio,0
Andre Drummond,0
Derrick Jones,0
Dalen Terry,0
Sterling Brown,0
Josh Green,0
Jake LaRavia,0
Tre Mann,0
Jordan Nwora,0
Kevin Knox,0
Saddiq Bey,0
Malaki Branham,0
Joe Wieskamp,0
Kai Jones,0
